# Per-scheme accent variants — used by `rice accents` / `rice accent`.
# Format:  scheme <TAB> name <TAB> hex      (hex without '#'; lines starting with # are ignored)
# The FIRST entry per scheme is that scheme's default accent (matches the preset profile's accent=).
# All hues are drawn from the scheme's own palette so swapping the accent stays in-palette.
# Scheme matching is prefix-tolerant (`gruvbox`<->`gruvbox-dark`, `solarized`<->`solarized-dark`,
# `catppuccin`->flavor). Set one with:  rice accent <name|hex> [--pin]
#
catppuccin-mocha	mauve	cba6f7
catppuccin-mocha	blue	89b4fa
catppuccin-mocha	teal	94e2d5
catppuccin-mocha	green	a6e3a1
catppuccin-mocha	peach	fab387
catppuccin-mocha	pink	f5c2e7
catppuccin-mocha	red	f38ba8
catppuccin-mocha	lavender	b4befe
catppuccin-frappe	mauve	ca9ee6
catppuccin-frappe	blue	8caaee
catppuccin-frappe	teal	81c8be
catppuccin-frappe	green	a6d189
catppuccin-frappe	peach	ef9f76
catppuccin-frappe	pink	f4b8e4
catppuccin-frappe	red	e78284
catppuccin-macchiato	mauve	c6a0f6
catppuccin-macchiato	blue	8aadf4
catppuccin-macchiato	teal	8bd5ca
catppuccin-macchiato	green	a6da95
catppuccin-macchiato	peach	f5a97f
catppuccin-macchiato	pink	f5bde6
catppuccin-macchiato	red	ed8796
catppuccin-latte	mauve	8839ef
catppuccin-latte	blue	1e66f5
catppuccin-latte	teal	179299
catppuccin-latte	green	40a02b
catppuccin-latte	peach	fe640b
catppuccin-latte	pink	ea76cb
catppuccin-latte	red	d20f39
gruvbox	yellow	fabd2f
gruvbox	orange	fe8019
gruvbox	green	b8bb26
gruvbox	aqua	8ec07c
gruvbox	blue	83a598
gruvbox	purple	d3869b
gruvbox	red	fb4934
nord	frost	88c0d0
nord	blue	81a1c1
nord	teal	8fbcbb
nord	green	a3be8c
nord	purple	b48ead
nord	yellow	ebcb8b
nord	red	bf616a
tokyo-night	blue	7aa2f7
tokyo-night	purple	bb9af7
tokyo-night	cyan	7dcfff
tokyo-night	teal	73daca
tokyo-night	green	9ece6a
tokyo-night	orange	ff9e64
tokyo-night	red	f7768e
rose-pine	iris	c4a7e7
rose-pine	foam	9ccfd8
rose-pine	pine	31748f
rose-pine	gold	f6c177
rose-pine	rose	ebbcba
rose-pine	love	eb6f92
dracula	purple	bd93f9
dracula	pink	ff79c6
dracula	cyan	8be9fd
dracula	green	50fa7b
dracula	orange	ffb86c
dracula	yellow	f1fa8c
dracula	red	ff5555
everforest	green	a7c080
everforest	aqua	83c092
everforest	blue	7fbbb3
everforest	yellow	dbbc7f
everforest	orange	e69875
everforest	purple	d699b6
everforest	red	e67e80
kanagawa	blue	7e9cd8
kanagawa	violet	957fb8
kanagawa	aqua	7aa89f
kanagawa	green	98bb6c
kanagawa	yellow	e6c384
kanagawa	pink	d27e99
kanagawa	red	e46876
solarized	blue	268bd2
solarized	cyan	2aa198
solarized	green	859900
solarized	yellow	b58900
solarized	orange	cb4b16
solarized	violet	6c71c4
solarized	magenta	d33682
